"Jan 26, 2021, 12 AMEDT",1.31,1.76,+34.76,"Oct 23, 2020, 12 AMEDT",1.36,1.3,-4.06,"Jul 24, 2020, 12 AMEDT",-0.11,0.29,+354.39,"Apr 24, 2020, 12 AMEDT",1.43,0.41,-71.25
"Feb 16, 2021, 12 AMEDT",0.93,0.94,+0.86,"Nov 05, 2020, 12 AMEDT",0.54,0.81,+49.17,"Aug 03, 2020, 12 AMEDT",0.5,0.66,+33.06,"May 04, 2020, 12 AMEDT",0.72,0.11,-84.64
"Feb 25, 2021, 12 AMEDT",1.27,0.82,-35.28,"Oct 29, 2020, 12 AMEDT",1.1,1.04,-5.8,"Jul 30, 2020, 12 AMEDT",1.03,1,-3.38,"Apr 29, 2020, 12 AMEDT",1.05,0.93,-11.17
"Feb 24, 2021, 12 AMEDT",0.8,0.8,-,"Nov 04, 2020, 12 AMEDT",1.38,1.46,+5.49,"Aug 05, 2020, 12 AMEDT",0.96,0.97,+0.83,"May 06, 2020, 12 AMEDT",0.65,0.67,+2.76
"Jan 27, 2021, 12 AMEDT",4.52,4.53,+0.13,"Oct 28, 2020, 12 AMEDT",1.47,1.47,+0.27,"Jul 29, 2020, 12 AMEDT",2.46,2.64,+7.27,"May 06, 2020, 12 AMEDT",3.94,5.41,+37.21
"Feb 04, 2021, 12 AMEDT",1.94,2.18,+12.37,"Nov 05, 2020, 12 AMEDT",1.85,1.89,+2,"Aug 05, 2020, 12 AMEDT",1.57,1.85,+17.76,"May 07, 2020, 12 AMEDT",2.27,2.4,+5.91
"Feb 04, 2021, 12 AMEDT",1.03,1.08,+5.06,"Oct 29, 2020, 12 AMEDT",0.93,1.01,+8.25,"Aug 04, 2020, 12 AMEDT",0.72,0.84,+16.5,"May 05, 2020, 12 AMEDT",0.97,1.02,+5.7
"Feb 02, 2021, 12 AMEDT",3.39,3.81,+12.39,"Oct 28, 2020, 12 AMEDT",3.81,4.37,+14.82,"Jul 28, 2020, 12 AMEDT",3.83,4.25,+11.11,"Apr 30, 2020, 12 AMEDT",3.76,4.17,+10.82
"Jan 27, 2021, 12 AMEDT",0.51,0.56,+11,"Oct 21, 2020, 12 AMEDT",0.44,0.55,+24.43,"Jul 22, 2020, 12 AMEDT",0.31,0.41,+29.81,"Apr 22, 2020, 12 AMEDT",0.37,0.36,-2.74
"Feb 17, 2021, 12 AMEDT",1.32,1.44,+9.01,"Nov 24, 2020, 12 AMEDT",1.33,1.44,+8.68,"Aug 19, 2020, 12 AMEDT",1.28,1.36,+5.92,"May 20, 2020, 12 AMEDT",1.03,1.08,+5.06
"Feb 24, 2021, 12 AMEDT",2.55,2.96,+16.31,"Nov 04, 2020, 12 AMEDT",1.26,1.36,+8.11,"Aug 05, 2020, 12 AMEDT",1.16,1.55,+33.16,"May 06, 2020, 12 AMEDT",0.8,0.83,+4.01
"Jan 27, 2021, 12 AMEDT",2.52,2.54,+0.79,"Oct 28, 2020, 12 AMEDT",4.15,4.2,+1.16,"Jul 29, 2020, 12 AMEDT",8.88,9.2,+3.66,"Apr 29, 2020, 12 AMEDT",6.48,6.48,-0.02
"Feb 05, 2021, 12 AMEDT",2.46,2.62,+6.55,"Oct 30, 2020, 12 AMEDT",1.49,1.53,+2.68,"Jul 31, 2020, 12 AMEDT",1.93,1.96,+1.61,"May 01, 2020, 12 AMEDT",3.66,3.68,+0.52
"Feb 24, 2021, 12 AMEDT",-0.11,-0.05,+54.55,"Nov 04, 2020, 12 AMEDT",-0.35,-0.16,+54.55,"Jul 29, 2020, 12 AMEDT",-1.01,-0.74,+26.73,"May 06, 2020, 12 AMEDT",-0.33,-0.13,+61.08
"Jan 27, 2021, 12 AMEDT",1.41,1.68,+18.98,"Oct 29, 2020, 12 AMEDT",0.7,0.73,+4.29,"Jul 30, 2020, 12 AMEDT",0.51,0.65,+26.22,"Apr 30, 2020, 12 AMEDT",0.56,0.64,+12.92
"Feb 18, 2021, 12 AMEDT",1.28,1.39,+8.93,"Nov 12, 2020, 12 AMEDT",1.17,1.25,+6.75,"Aug 13, 2020, 12 AMEDT",0.95,1.06,+11.23,"May 14, 2020, 12 AMEDT",0.94,0.89,-5.12
"Feb 03, 2021, 12 AMEDT",1.01,1.13,+11.88,"Oct 29, 2020, 12 AMEDT",0.76,1.13,+48.49,"Jul 30, 2020, 12 AMEDT",-1.38,-1.1,+20.17,"May 05, 2020, 12 AMEDT",0.35,0.68,+95.97
"Jan 26, 2021, 12 AMEDT",1.1,1.21,+10.1,"Oct 29, 2020, 12 AMEDT",0.71,0.89,+24.65,"Jul 29, 2020, 12 AMEDT",0.51,0.85,+66.34,"Apr 29, 2020, 12 AMEDT",0.55,0.64,+16.58
"Feb 18, 2021, 12 AMEDT",2.39,2.49,+4.18,"Nov 02, 2020, 12 AMEDT",2.21,2.42,+9.5,"Aug 04, 2020, 12 AMEDT",1.95,2.11,+8.43,"May 05, 2020, 12 AMEDT",1.81,2.02,+11.6
"Jan 28, 2021, 12 AMEDT",0.78,0.88,+12.39,"Oct 29, 2020, 12 AMEDT",0.92,1.08,+17.01,"Jul 30, 2020, 12 AMEDT",0.73,0.94,+29.66,"Apr 30, 2020, 12 AMEDT",1.73,1.83,+5.72
"Feb 09, 2021, 12 AMEDT",2.08,1.82,-12.33,"Nov 02, 2020, 12 AMEDT",1,1.41,+41,"Aug 04, 2020, 12 AMEDT",2.09,2.75,+31.58,"May 05, 2020, 12 AMEDT",2.42,2.64,+8.87
"Jan 27, 2021, 12 AMEDT",0.73,0.75,+3.02,"Oct 22, 2020, 12 AMEDT",0.76,0.76,+0.13,"Jul 23, 2020, 12 AMEDT",0.79,0.83,+4.67,"Apr 22, 2020, 12 AMEDT",0.85,0.84,-0.94
"Feb 02, 2021, 12 AMEDT",1.58,1.71,+8.43,"Nov 11, 2020, 12 AMEDT",0.51,0.53,+3.11,"Aug 05, 2020, 12 AMEDT",0.76,0.79,+4.22,"May 06, 2020, 12 AMEDT",1.92,1.95,+1.62
"Feb 25, 2021, 12 AMEDT",1.07,1.18,+9.87,"Nov 24, 2020, 12 AMEDT",0.96,1.04,+8.22,"Aug 25, 2020, 12 AMEDT",0.9,0.98,+9.25,"May 27, 2020, 12 AMEDT",0.8,0.85,+6.12
"Jan 27, 2021, 12 AMEDT",1.29,1.52,+17.56,"Oct 28, 2020, 12 AMEDT",0.98,1.41,+44.02,"Jul 29, 2020, 12 AMEDT",0.96,1.14,+19.25,"Apr 29, 2020, 12 AMEDT",1.89,1.92,+1.43
"Mar 02, 2021, 12 AMEDT",12.84,14.93,+16.3,"Dec 08, 2020, 12 AMEDT",17.85,18.61,+4.27,"Sep 22, 2020, 12 AMEDT",25.01,30.93,+23.68,"May 26, 2020, 12 AMEDT",13.8,14.39,+4.28
"Feb 04, 2021, 12 AMEDT",0.86,2.44,+182.73,"Oct 28, 2020, 12 AMEDT",0.96,1.05,+9.15,"Jul 29, 2020, 12 AMEDT",1.03,1.21,+17.7,"May 06, 2020, 12 AMEDT",1.19,1.19,-
"Feb 03, 2021, 12 AMEDT",2.09,2.27,+8.82,"Oct 21, 2020, 12 AMEDT",1.53,1.91,+25.08,"Jul 27, 2020, 12 AMEDT",1.13,1.27,+11.99,"Apr 29, 2020, 12 AMEDT",1.5,1.66,+10.74
"Jan 21, 2021, 12 AMEDT",0.17,-0.07,-141.67,"Oct 21, 2020, 12 AMEDT",0.04,0.04,+11.11,"Jul 22, 2020, 12 AMEDT",-,-0.05,-900,"Apr 22, 2020, 12 AMEDT",0.11,0.11,-1.79
"Feb 04, 2021, 12 AMEDT",0.79,0.81,+3.18,"Nov 05, 2020, 12 AMEDT",0.77,0.89,+15.73,"Aug 06, 2020, 12 AMEDT",0.56,0.65,+15.66,"May 07, 2020, 12 AMEDT",0.6,0.61,+2.35
"Jan 19, 2021, 12 AMEDT",0.55,0.59,+7.86,"Oct 14, 2020, 12 AMEDT",0.49,0.51,+3.45,"Jul 16, 2020, 12 AMEDT",0.27,0.37,+38.58,"Apr 15, 2020, 12 AMEDT",0.46,0.4,-13.23
"Feb 04, 2021, 12 AMEDT",0.76,0.8,+5.54,"Oct 29, 2020, 12 AMEDT",0.73,0.83,+14.17,"Jul 30, 2020, 12 AMEDT",0.71,0.64,-9.99,"Apr 30, 2020, 12 AMEDT",0.72,0.82,+13.26
"Feb 04, 2021, 12 AMEDT",3.11,4.55,+46.21,"Nov 05, 2020, 12 AMEDT",2.52,2.79,+10.58,"Aug 06, 2020, 12 AMEDT",2.04,2.2,+7.84,"May 07, 2020, 12 AMEDT",2.32,2.55,+9.87
"Aug 08, 2020, 12 AMUTC",3517.8,3420,-2.78,"May 02, 2020, 12 AMUTC",3866.63,3617.38,-6.45,"Feb 22, 2020, 12 AMUTC",3612.56,2714.99,-24.85,"Nov 03, 2019, 12 AMUTC",2.84,3.07,+7.98
